dataset,image_name,attention_blue,attention_green,attention_lowlight
UIEB_raw_890,15094.png,0.25496578216552734,0.4672712981700897,0.27776288986206055
UIEB_raw_890,150_img_.png,0.35159218311309814,0.37268465757369995,0.2757231891155243
UIEB_raw_890,15113.png,0.3042885959148407,0.4769350588321686,0.21877636015415192
UIEB_raw_890,15136.png,0.25398463010787964,0.42333000898361206,0.3226853311061859
UIEB_raw_890,151_img_.png,0.4793573021888733,0.3111298084259033,0.209512859582901
UIEB_raw_890,152_img_.png,0.34142881631851196,0.4399711787700653,0.21860000491142273
UIEB_raw_890,1539.png,0.1964508593082428,0.4111027419567108,0.3924463987350464
UIEB_raw_890,153_img_.png,0.38713300228118896,0.3548799753189087,0.25798702239990234
UIEB_raw_890,15418.png,0.07807444781064987,0.5305991768836975,0.391326367855072
UIEB_raw_890,15426.png,0.11952124536037445,0.5469386577606201,0.333540141582489
UIEB_raw_890,154_img_.png,0.23603111505508423,0.4442320466041565,0.3197368383407593
UIEB_raw_890,15544.png,0.11535469442605972,0.5947625041007996,0.2898827791213989
UIEB_raw_890,155_img_.png,0.24593965709209442,0.4082779288291931,0.34578239917755127
UIEB_raw_890,156_img_.png,0.151179701089859,0.4895298480987549,0.3592904210090637
UIEB_raw_890,15704.png,0.2390640377998352,0.4960373044013977,0.2648986876010895
UIEB_raw_890,1573.png,0.29169461131095886,0.41393160820007324,0.2943737506866455
UIEB_raw_890,157_img_.png,0.22711145877838135,0.4237178862094879,0.34917062520980835
UIEB_raw_890,158_img_.png,0.1381652057170868,0.4986627995967865,0.3631719946861267
UIEB_raw_890,159_img_.png,0.21531251072883606,0.4802156686782837,0.30447185039520264
UIEB_raw_890,15_img_.png,0.2987557053565979,0.3876453638076782,0.3135989308357239
UIEB_raw_890,160_img_.png,0.6169300079345703,0.2682357430458069,0.11483420431613922
UIEB_raw_890,161_img_.png,0.14509573578834534,0.5211588144302368,0.33374544978141785
UIEB_raw_890,162_img_.png,0.20677752792835236,0.5228274464607239,0.27039504051208496
UIEB_raw_890,163_img_.png,0.170512393116951,0.48693835735321045,0.34254923462867737
UIEB_raw_890,164_img_.png,0.19139167666435242,0.45971444249153137,0.3488938510417938
UIEB_raw_890,165_img_.png,0.1921832263469696,0.4750898778438568,0.3327268958091736
UIEB_raw_890,1660.png,0.3300236165523529,0.340390682220459,0.3295856714248657
UIEB_raw_890,166_img_.png,0.3142525553703308,0.39939409494400024,0.28635334968566895
UIEB_raw_890,168_img_.png,0.5238164663314819,0.27719026803970337,0.19899331033229828
UIEB_raw_890,169_img_.png,0.40063542127609253,0.3606972396373749,0.2386673390865326
UIEB_raw_890,16_img_.png,0.19604919850826263,0.48185405135154724,0.3220967650413513
UIEB_raw_890,170_img_.png,0.30659955739974976,0.40984565019607544,0.2835547924041748
UIEB_raw_890,171_img_.png,0.36169999837875366,0.43648940324783325,0.20181059837341309
UIEB_raw_890,172_img_.png,0.34483209252357483,0.4047049582004547,0.25046291947364807
UIEB_raw_890,173_img_.png,0.3913179934024811,0.3486158847808838,0.2600661516189575
UIEB_raw_890,1742.png,0.3928496837615967,0.38350075483322144,0.22364956140518188
UIEB_raw_890,174_img_.png,0.5548321008682251,0.3234323561191559,0.1217355728149414
UIEB_raw_890,175_img_.png,0.13355863094329834,0.5574018955230713,0.30903947353363037
UIEB_raw_890,176_img_.png,0.24192315340042114,0.48493513464927673,0.27314168214797974
