dataset,image_name,attention_blue,attention_lowlight,attention_blur
UIEB_raw_890,163_img_.png,0.0997292697429657,0.2199001908302307,0.680370569229126
UIEB_raw_890,164_img_.png,0.1334400475025177,0.20617413520812988,0.66038578748703
UIEB_raw_890,165_img_.png,0.09436790645122528,0.18198688328266144,0.7236452102661133
UIEB_raw_890,1660.png,0.16016624867916107,0.18588310480117798,0.6539506912231445
UIEB_raw_890,166_img_.png,0.14243337512016296,0.21837887167930603,0.6391878128051758
UIEB_raw_890,168_img_.png,0.3519190847873688,0.23627543449401855,0.41180548071861267
UIEB_raw_890,169_img_.png,0.25626957416534424,0.23276667296886444,0.5109637975692749
UIEB_raw_890,16_img_.png,0.13741472363471985,0.2066749632358551,0.655910313129425
UIEB_raw_890,170_img_.png,0.15816950798034668,0.16965360939502716,0.6721768379211426
UIEB_raw_890,171_img_.png,0.22733590006828308,0.1973935067653656,0.5752705931663513
UIEB_raw_890,172_img_.png,0.22969859838485718,0.2263641357421875,0.5439373254776001
UIEB_raw_890,173_img_.png,0.19371071457862854,0.18590325117111206,0.620386004447937
UIEB_raw_890,1742.png,0.2322520613670349,0.16884630918502808,0.598901629447937
UIEB_raw_890,174_img_.png,0.317055344581604,0.10972125083208084,0.5732234120368958
UIEB_raw_890,175_img_.png,0.10204774141311646,0.19480066001415253,0.7031515836715698
UIEB_raw_890,176_img_.png,0.12103962153196335,0.19330301880836487,0.6856573820114136
UIEB_raw_890,177_img_.png,0.38055485486984253,0.1700436770915985,0.4494014382362366
UIEB_raw_890,178_img_.png,0.10151408612728119,0.20910285413265228,0.6893830299377441
UIEB_raw_890,179_img_.png,0.07383478432893753,0.18621158599853516,0.7399536371231079
UIEB_raw_890,17_img_.png,0.16660872101783752,0.22731450200080872,0.6060768365859985
UIEB_raw_890,180_img_.png,0.12098808586597443,0.2069871872663498,0.6720247268676758
UIEB_raw_890,182_img_.png,0.1440410017967224,0.2710916996002197,0.5848673582077026
UIEB_raw_890,183_img_.png,0.09183260798454285,0.20221644639968872,0.7059509754180908
UIEB_raw_890,184_img_.png,0.029050910845398903,0.17537595331668854,0.7955731153488159
UIEB_raw_890,185_img_.png,0.08645619451999664,0.2156439572572708,0.6978998780250549
UIEB_raw_890,186_img_.png,0.18060559034347534,0.19291843473911285,0.626475989818573
UIEB_raw_890,187_img_.png,0.10290125012397766,0.21459141373634338,0.682507336139679
UIEB_raw_890,188_img_.png,0.09365363419055939,0.2187824845314026,0.6875638961791992
UIEB_raw_890,189_img_.png,0.2421759068965912,0.22008781135082245,0.5377362966537476
UIEB_raw_890,18_img_.png,0.2860635221004486,0.27118217945098877,0.4427542984485626
UIEB_raw_890,190_img_.png,0.09876644611358643,0.1856292188167572,0.715604305267334
UIEB_raw_890,191_img_.png,0.06283661723136902,0.14075325429439545,0.7964101433753967
UIEB_raw_890,192_img_.png,0.12355776131153107,0.2331785261631012,0.6432636976242065
UIEB_raw_890,193_img_.png,0.09063418954610825,0.23523558676242828,0.6741302609443665
UIEB_raw_890,194_img_.png,0.09890379011631012,0.21019458770751953,0.6909016370773315
UIEB_raw_890,1957.png,0.07633635401725769,0.1880955696105957,0.7355680465698242
UIEB_raw_890,195_img_.png,0.09555010497570038,0.2120785117149353,0.6923713684082031
UIEB_raw_890,196_img_.png,0.08467525243759155,0.2105914205312729,0.7047333121299744
UIEB_raw_890,197_img_.png,0.18994402885437012,0.15309035778045654,0.6569656133651733
UIEB_raw_890,198_img_.png,0.08632178604602814,0.20942087471485138,0.7042573690414429
UIEB_raw_890,199_img_.png,0.05418776348233223,0.16250590980052948,0.783306360244751
UIEB_raw_890,19_img_.png,0.1439046561717987,0.2327725887298584,0.6233227252960205
UIEB_raw_890,20.png,0.09443482756614685,0.2136160433292389,0.6919491291046143
UIEB_raw_890,200_img_.png,0.05251535773277283,0.23040206730365753,0.7170825600624084
UIEB_raw_890,201_img_.png,0.0811057761311531,0.2100619673728943,0.7088322639465332
UIEB_raw_890,202_img_.png,0.07595859467983246,0.1941247582435608,0.7299166321754456
UIEB_raw_890,203_img_.png,0.19496971368789673,0.25829458236694336,0.5467357635498047
UIEB_raw_890,204_img_.png,0.12799032032489777,0.21486979722976685,0.6571398973464966
UIEB_raw_890,205_img_.png,0.09106479585170746,0.18708443641662598,0.7218507528305054
UIEB_raw_890,206_img_.png,0.08703082799911499,0.18992561101913452,0.7230435609817505
UIEB_raw_890,207_img_.png,0.07765810191631317,0.2007354497909546,0.721606433391571
UIEB_raw_890,208_img_.png,0.23263667523860931,0.18331727385520935,0.5840460062026978
UIEB_raw_890,209_img_.png,0.09058772027492523,0.21184834837913513,0.6975639462471008
UIEB_raw_890,210_img_.png,0.11233672499656677,0.2208523154258728,0.6668109893798828
